ID,y
0,3
1,1
2,3
3,2
4,4
5,1
6,2
7,1
8,4
9,4
10,4
11,2
12,3
13,4
14,4
15,0
16,4
17,3
18,1
19,2
20,3
21,3
22,4
23,3
24,1
25,2
26,4
27,3
28,2
29,3
30,1
31,0
32,1
33,3
34,3
35,0
36,0
37,1
38,4
39,0
40,1
41,0
42,0
43,3
44,2
45,4
46,2
47,0
48,0
49,1
50,3
51,3
52,1
53,2
54,4
55,2
56,4
57,3
58,0
59,3
60,3
61,2
62,4
63,3
64,1
65,4
66,0
67,4
68,4
69,4
70,0
71,3
72,4
73,2
74,0
75,3
76,3
77,3
78,0
79,0
80,2
81,3
82,0
83,2
84,4
85,2
86,2
87,3
88,1
89,3
90,2
91,4
92,1
93,1
94,0
95,4
96,3
97,0
98,1
99,2
100,4
101,4
102,1
103,2
104,3
105,2
106,4
107,2
108,4
109,1
110,4
111,2
112,3
113,3
114,0
115,1
116,1
117,4
118,0
119,3
120,2
121,1
122,1
123,1
124,1
125,2
126,1
127,0
128,1
129,0
130,4
131,2
132,2
133,2
134,1
135,0
136,2
137,1
138,3
139,2
140,0
141,4
142,4
143,2
144,1
145,1
146,1
147,0
148,3
149,3
150,0
151,0
152,4
153,1
154,0
155,0
156,1
157,3
158,4
159,0
160,1
161,2
162,3
163,3
164,3
165,2
166,4
167,2
168,0
169,0
170,4
171,1
172,1
173,2
174,0
175,3
176,0
177,2
178,1
179,3
180,0
181,3
182,3
183,1
184,4
185,0
186,2
187,2
188,4
189,1
190,0
191,1
192,3
193,0
194,0
195,3
196,1
197,1
198,3
199,0
200,1
201,2
202,3
203,4
204,2
205,3
206,1
207,4
208,3
209,2
210,3
211,4
212,1
213,3
214,4
215,0
216,3
217,2
218,0
219,3
220,4
221,4
222,1
223,2
224,4
225,1
226,3
227,2
228,0
229,3
230,0
231,4
232,1
233,3
234,4
235,2
236,2
237,3
238,0
239,1
240,2
241,1
242,4
243,1
244,0
245,4
246,0
247,4
248,0
249,2
250,4
251,3
252,1
253,0
254,1
255,4
256,1
257,3
258,0
259,3
260,1
261,3
262,3
263,1
264,1
265,0
266,2
267,4
268,1
269,4
270,1
271,4
272,1
273,0
274,2
275,1
276,4
277,1
278,1
279,2
280,1
281,4
282,2
283,2
284,2
285,1
286,4
287,2
288,4
289,3
290,1
291,4
292,1
293,2
294,0
295,0
296,3
297,3
298,0
299,1
300,2
301,2
302,0
303,0
304,0
305,0
306,3
307,0
308,4
309,2
310,3
311,0
312,2
313,0
314,4
315,1
316,4
317,4
318,4
319,3
320,2
321,2
322,1
323,1
324,2
325,4
326,2
327,1
328,0
329,2
330,0
331,0
332,0
333,3
334,1
335,3
336,2
337,2
338,3
339,4
340,0
341,2
342,1
343,3
344,2
345,1
346,1
347,4
348,0
349,1
350,1
351,2
352,4
353,4
354,3
355,3
356,4
357,3
358,2
359,3
360,4
361,0
362,2
363,4
364,4
365,1
366,0
367,3
368,3
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,4
377,0
378,1
379,4
380,1
381,2
382,3
383,0
384,3
385,3
386,4
387,3
388,4
389,1
390,4
391,2
392,1
393,1
394,4
395,1
396,3
397,1
398,0
399,3
400,2
401,1
402,1
403,0
404,2
405,4
406,2
407,2
408,3
409,3
410,2
411,2
412,0
413,0
414,3
415,1
416,3
417,0
418,0
419,4
420,0
421,4
422,3
423,3
424,4
425,0
426,3
427,2
428,0
429,4
430,4
431,1
432,4
433,3
434,1
435,0
436,1
437,2
438,3
439,0
440,4
441,3
442,0
443,1
444,4
445,3
446,3
447,1
448,1
449,4
450,1
451,3
452,0
453,1
454,4
455,0
456,4
457,2
458,3
459,0
460,4
461,2
462,3
463,4
464,1
465,0
466,3
467,3
468,0
469,0
470,1
471,4
472,1
473,2
474,4
475,0
476,2
477,2
478,4
479,0
480,3
481,3
482,0
483,4
484,3
485,0
486,2
487,3
488,3
489,1
490,0
491,1
492,2
493,3
