ID,y
0,1
1,1
2,1
3,4
4,2
5,0
6,0
7,1
8,2
9,1
10,2
11,4
12,4
13,1
14,0
15,0
16,4
17,0
18,2
19,2
20,4
21,4
22,2
23,4
24,2
25,0
26,1
27,0
28,4
29,1
30,1
31,1
32,1
33,0
34,1
35,2
36,4
37,4
38,0
39,0
40,0
41,2
42,1
43,2
44,2
45,2
46,0
47,4
48,4
49,0
50,2
51,1
52,1
53,4
54,4
55,2
56,2
57,0
58,0
59,0
60,4
61,2
62,0
63,1
64,2
65,1
66,2
67,1
68,4
69,4
70,2
71,4
72,0
73,4
74,2
75,0
76,1
77,1
78,1
79,1
80,2
81,0
82,4
83,0
84,2
85,2
86,0
87,1
88,2
89,2
90,2
91,4
92,2
93,2
94,2
95,2
96,1
97,0
98,1
99,0
100,4
101,1
102,0
103,4
104,2
105,1
106,2
107,0
108,0
109,1
110,2
111,4
112,2
113,0
114,1
115,1
116,1
117,0
118,1
119,2
120,2
121,0
122,0
123,0
124,0
125,4
126,2
127,1
128,0
129,4
130,1
131,0
132,1
133,1
134,4
135,2
136,2
137,2
138,2
139,2
140,4
141,4
142,2
143,2
144,4
145,0
146,1
147,1
148,2
149,2
150,1
151,1
152,2
153,0
154,2
155,0
156,2
157,1
158,2
159,1
160,1
161,4
162,4
163,0
164,4
165,2
166,0
167,2
168,2
169,4
170,1
171,0
172,4
173,2
174,2
175,4
176,2
177,1
178,2
179,2
180,0
181,2
182,0
183,2
184,0
185,0
186,1
187,4
188,2
189,2
190,0
191,4
192,4
193,4
194,4
195,0
196,0
197,2
198,2
199,0
200,2
201,0
202,1
203,2
204,1
205,3
206,4
207,2
208,0
209,4
210,1
211,1
212,1
213,4
214,2
215,4
216,0
217,0
218,4
219,4
220,0
221,2
222,0
223,4
224,4
225,2
226,0
227,1
228,1
229,4
230,4
231,2
232,2
233,2
234,0
235,2
236,0
237,0
238,0
239,1
240,2
241,2
242,1
243,4
244,1
245,4
246,4
247,1
248,1
249,1
250,1
251,0
252,1
253,2
254,2
255,0
256,4
257,4
258,2
259,0
260,1
261,0
262,0
263,1
264,1
265,2
266,1
267,1
268,2
269,2
270,1
271,2
272,4
273,2
274,1
275,1
276,4
277,2
278,2
279,1
280,2
281,0
282,0
283,4
284,2
285,0
286,4
287,0
288,4
289,2
290,2
291,2
292,0
293,4
294,2
295,1
296,1
297,0
298,4
299,4
300,2
301,4
302,2
303,2
304,3
305,0
306,1
307,0
308,2
309,0
310,2
311,1
312,1
313,1
314,2
315,2
316,1
317,0
318,2
319,2
320,0
321,2
322,0
323,4
324,1
325,0
326,2
327,0
328,2
329,0
330,4
331,2
332,1
333,1
334,0
335,2
336,2
337,2
338,1
339,1
340,0
341,1
342,1
343,2
344,1
345,3
346,4
347,2
348,4
349,0
350,2
351,2
352,0
353,2
354,0
355,2
356,1
357,2
358,1
359,1
360,0
361,0
362,2
363,1
364,4
365,1
366,4
367,1
368,2
369,4
370,0
371,0
372,0
373,2
374,0
375,1
376,0
377,1
378,0
379,2
380,0
381,0
382,2
383,2
384,4
385,2
386,2
387,2
388,2
389,2
390,4
391,4
392,0
393,1
394,1
395,0
396,0
397,2
398,1
399,3
400,1
401,2
402,4
403,2
404,4
405,4
406,0
407,0
408,2
409,2
410,2
411,0
412,2
413,1
414,1
415,2
416,4
417,1
418,1
419,4
420,1
421,1
422,0
423,2
424,1
425,4
426,2
427,2
428,1
429,4
430,4
431,2
432,2
433,0
434,1
435,0
436,1
437,0
438,0
439,0
440,2
441,4
442,0
443,0
444,0
445,1
446,0
447,1
448,0
449,1
450,4
451,4
452,4
453,2
454,0
455,2
456,0
457,0
458,0
459,0
460,0
461,0
462,1
463,2
464,1
465,2
466,2
467,2
468,1
469,1
470,4
471,1
472,1
473,0
474,4
475,0
476,4
477,1
478,4
479,0
480,0
481,2
482,4
483,2
484,0
485,0
486,4
487,2
488,4
489,4
490,1
491,1
492,4
493,3
