ID,y
0,3
1,1
2,1
3,1
4,1
5,3
6,1
7,1
8,1
9,3
10,1
11,1
12,0
13,1
14,3
15,2
16,1
17,3
18,1
19,3
20,3
21,3
22,3
23,1
24,1
25,2
26,2
27,1
28,1
29,3
30,2
31,3
32,3
33,1
34,1
35,3
36,3
37,3
38,1
39,3
40,1
41,3
42,3
43,3
44,3
45,3
46,2
47,1
48,1
49,1
50,3
51,3
52,3
53,1
54,3
55,1
56,1
57,1
58,1
59,1
60,3
61,1
62,2
63,1
64,1
65,3
66,3
67,3
68,1
69,1
70,1
71,3
72,1
73,1
74,1
75,1
76,3
77,3
78,3
79,3
80,1
81,3
82,1
83,1
84,2
85,3
86,3
87,3
88,1
89,2
90,3
91,3
92,3
93,3
94,1
95,1
96,2
97,3
98,3
99,2
100,3
101,3
102,1
103,3
104,1
105,3
106,3
107,3
108,2
109,1
110,3
111,1
112,3
113,3
114,1
115,1
116,1
117,1
118,3
119,1
120,3
121,1
122,3
123,3
124,3
125,3
126,1
127,3
128,1
129,3
130,1
131,3
132,1
133,1
134,1
135,2
136,1
137,1
138,3
139,1
140,3
141,1
142,3
143,1
144,1
145,2
146,1
147,1
148,3
149,3
150,3
151,1
152,2
153,1
154,1
155,1
156,1
157,3
158,1
159,3
160,3
161,1
162,3
163,3
164,1
165,1
166,3
167,0
168,1
169,1
170,1
171,1
172,3
173,1
174,3
175,3
176,1
177,1
178,1
179,2
180,1
181,1
182,2
183,0
184,2
185,1
186,1
187,1
188,3
189,3
190,3
191,1
192,3
193,3
194,1
195,3
196,3
197,3
198,1
199,1
200,2
201,1
202,3
203,3
204,1
205,1
206,1
207,3
208,3
209,1
210,1
211,1
212,1
213,1
214,3
215,3
216,1
217,1
218,1
219,1
220,2
221,1
222,2
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,1
231,3
232,3
233,3
234,1
235,3
236,1
237,3
238,2
239,3
240,1
241,1
242,1
243,3
244,3
245,1
246,3
247,1
248,1
249,3
250,3
251,1
252,3
253,1
254,3
255,1
256,3
257,3
258,3
259,3
260,0
261,3
262,1
263,1
264,3
265,1
266,1
267,1
268,1
269,3
270,3
271,3
272,3
273,2
274,1
275,3
276,1
277,3
278,3
279,3
280,3
281,1
282,1
283,1
284,1
285,3
286,1
287,1
288,1
289,3
290,1
291,1
292,0
293,1
294,1
295,3
296,1
297,3
298,3
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,2
308,1
309,3
310,3
311,1
312,3
313,3
314,3
315,1
316,3
317,1
318,1
319,2
320,1
321,1
322,3
323,1
324,3
325,3
326,3
327,3
328,0
329,3
330,1
331,1
332,3
333,1
334,1
335,1
336,2
337,1
338,1
339,1
340,1
341,3
342,3
343,3
344,3
345,3
346,1
347,3
348,1
349,3
350,3
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,3
359,3
360,1
361,3
362,3
363,1
364,1
365,1
366,3
367,3
368,1
369,3
370,3
371,2
372,1
373,3
374,3
375,3
376,1
377,1
378,3
379,1
380,1
381,1
382,1
383,3
384,3
385,0
386,0
387,1
388,1
389,3
390,3
391,3
392,1
393,3
394,3
395,3
396,3
397,1
398,1
399,3
400,3
401,3
402,3
403,0
404,1
405,3
406,0
407,3
408,1
409,1
410,2
411,1
412,1
413,3
414,1
415,3
416,1
417,3
418,3
419,1
420,3
421,1
422,1
423,3
424,3
425,3
426,3
427,3
428,1
429,1
430,1
431,1
432,0
433,3
434,0
435,3
436,1
437,1
438,1
439,1
440,3
441,1
442,3
443,3
444,1
445,1
446,3
447,3
448,2
449,1
450,1
451,1
452,3
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,2
462,3
463,1
464,3
465,1
466,3
467,3
468,1
469,1
470,3
471,1
472,2
473,1
474,1
475,1
476,1
477,1
478,3
479,1
480,1
481,1
482,1
483,1
484,1
485,3
486,3
487,1
488,3
489,3
490,3
491,3
492,3
493,1
